,lob,geo,month,seg,startchannel,journey,sankey
0,Credit Cards,North America,Jan-19,Segment1,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 2646.3498986209715], ['Bill Payment', 'Card Bill Pay', 71.0597781973141], ['Bill Payment', 'Payment History', 7282.590323181715], ['3rd Party Payments', 'View scheduled payments', 2646.3498986209715], ['Card Bill Pay', 'Payment Successful', 37.911739209462795], ['Card Bill Pay', 'Payment Failure', 33.148038987851315], ['Payment History', 'View ebill statement', 7282.590323181715], ['View scheduled payments', 'Cancel Payment', 726.7763642595314], ['View scheduled payments', 'View scheduled - Drop Off', 1919.5735343614404], ['Payment Successful', 'Payment Successful - Drop Off', 37.911739209462795], ['Payment Failure', 'Contact Customer Care', 17.654246738522914], ['Payment Failure', 'Payment Failure - Drop Off', 15.493792249328404], ['View ebill statement', 'View Ebill Statement - Drop Off', 2817.1905051603526], ['View ebill statement', 'Bill Enquiry', 4465.399818021362], ['Cancel Payment', 'Chat1', 335.4026131371039], ['Cancel Payment', 'Cancel Payment - Drop Off', 391.37375112242756], ['Contact Customer Care', 'Chat2', 6.2070205794032285], ['Contact Customer Care', 'IVR2', 11.447226159119685], ['Bill Enquiry', 'Chat3', 2538.146100900972], ['Bill Enquiry', 'IVR3', 1927.25371712039], ['Chat1', 'Chat1 - Drop Off', 335.4026131371039], ['Chat2', 'Chat2 - Drop Off', 1.413171922811693], ['Chat2', 'IVR1', 1.747445583254967], ['Chat2', 'Branch1', 3.0464030733365695], ['IVR2', 'IVR2 - Drop Off', 7.809988197917359], ['IVR2', 'Phone1', 3.6372379612023256], ['Chat3', 'Chat3 - Drop Off', 2538.146100900972], ['IVR3', 'IVR3 - Drop Off', 1279.3017165273955], ['IVR3', 'Phone2', 647.9520005929944], ['IVR1', 'IVR1 - Drop Off', 0.9149665838100266], ['IVR1', 'Branch1 - Drop Off', 0.8324789994449405], ['Phone1', 'Phone1 - Drop Off', 2.782188211363045], ['Phone1', 'Branch2', 0.8550497498392808], ['Phone2', 'Phone2 - Drop Off', 647.9520005929944]]"
1,Credit Cards,North America,Jan-19,Segment2,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 4802.193316983912], ['Bill Payment', 'Card Bill Pay', 1505.3950956092435], ['Bill Payment', 'Payment History', 3692.4115874068443], ['3rd Party Payments', 'View scheduled payments', 4802.193316983912], ['Card Bill Pay', 'Payment Successful', 847.0687946772632], ['Card Bill Pay', 'Payment Failure', 658.3263009319803], ['Payment History', 'View ebill statement', 3692.4115874068443], ['View scheduled payments', 'Cancel Payment', 3472.5470740006112], ['View scheduled payments', 'View scheduled - Drop Off', 1329.6462429833007], ['Payment Successful', 'Payment Successful - Drop Off', 847.0687946772632], ['Payment Failure', 'Contact Customer Care', 389.78522797556184], ['Payment Failure', 'Payment Failure - Drop Off', 268.5410729564186], ['View ebill statement', 'View Ebill Statement - Drop Off', 1152.4004506206415], ['View ebill statement', 'Bill Enquiry', 2540.0111367862028], ['Cancel Payment', 'Chat1', 1725.9381507896603], ['Cancel Payment', 'Cancel Payment - Drop Off', 1746.6089232109512], ['Contact Customer Care', 'Chat2', 187.3445310731679], ['Contact Customer Care', 'IVR2', 202.4406969023939], ['Bill Enquiry', 'Chat3', 199.8179895867472], ['Bill Enquiry', 'IVR3', 2340.193147199456], ['Chat1', 'Chat1 - Drop Off', 1725.9381507896603], ['Chat2', 'Chat2 - Drop Off', 73.1917314082519], ['Chat2', 'IVR1', 74.20998984409002], ['Chat2', 'Branch1', 39.942809820825985], ['IVR2', 'IVR2 - Drop Off', 51.12111130573789], ['IVR2', 'Phone1', 151.31958559665603], ['Chat3', 'Chat3 - Drop Off', 199.8179895867472], ['IVR3', 'IVR3 - Drop Off', 839.930647950052], ['IVR3', 'Phone2', 1500.2624992494036], ['IVR1', 'IVR1 - Drop Off', 26.48977951364334], ['IVR1', 'Branch1 - Drop Off', 47.720210330446676], ['Phone1', 'Phone1 - Drop Off', 103.24805026062873], ['Phone1', 'Branch2', 48.0715353360273], ['Phone2', 'Phone2 - Drop Off', 1500.2624992494036]]"
2,Credit Cards,North America,Jan-19,Segment3,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 4329.635641450991], ['Bill Payment', 'Card Bill Pay', 3042.4756690208073], ['Bill Payment', 'Payment History', 2627.8886895282035], ['3rd Party Payments', 'View scheduled payments', 4329.635641450991], ['Card Bill Pay', 'Payment Successful', 1902.8450332787754], ['Card Bill Pay', 'Payment Failure', 1139.630635742032], ['Payment History', 'View ebill statement', 2627.8886895282035], ['View scheduled payments', 'Cancel Payment', 2055.455265937726], ['View scheduled payments', 'View scheduled - Drop Off', 2274.180375513265], ['Payment Successful', 'Payment Successful - Drop Off', 1902.8450332787754], ['Payment Failure', 'Contact Customer Care', 451.522960425829], ['Payment Failure', 'Payment Failure - Drop Off', 688.1076753162029], ['View ebill statement', 'View Ebill Statement - Drop Off', 49.22734445786185], ['View ebill statement', 'Bill Enquiry', 2578.6613450703417], ['Cancel Payment', 'Chat1', 1041.990643560088], ['Cancel Payment', 'Cancel Payment - Drop Off', 1013.4646223776382], ['Contact Customer Care', 'Chat2', 284.94547322506054], ['Contact Customer Care', 'IVR2', 166.5774872007685], ['Bill Enquiry', 'Chat3', 1491.472823364489], ['Bill Enquiry', 'IVR3', 1087.188521705853], ['Chat1', 'Chat1 - Drop Off', 1041.990643560088], ['Chat2', 'Chat2 - Drop Off', 76.37025676981303], ['Chat2', 'IVR1', 64.18788887713805], ['Chat2', 'Branch1', 144.38732757810948], ['IVR2', 'IVR2 - Drop Off', 105.98618152985097], ['IVR2', 'Phone1', 60.59130567091755], ['Chat3', 'Chat3 - Drop Off', 1491.472823364489], ['IVR3', 'IVR3 - Drop Off', 784.7973298106825], ['IVR3', 'Phone2', 302.39119189517055], ['IVR1', 'IVR1 - Drop Off', 45.87279931716076], ['IVR1', 'Branch1 - Drop Off', 18.315089559977288], ['Phone1', 'Phone1 - Drop Off', 35.269821333819436], ['Phone1', 'Branch2', 25.321484337098116], ['Phone2', 'Phone2 - Drop Off', 302.39119189517055]]"
3,Credit Cards,North America,Jan-19,Segment4,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 4909.31095068267], ['Bill Payment', 'Card Bill Pay', 39.729264541152894], ['Bill Payment', 'Payment History', 5050.959784776177], ['3rd Party Payments', 'View scheduled payments', 4909.31095068267], ['Card Bill Pay', 'Payment Successful', 22.110935597164715], ['Card Bill Pay', 'Payment Failure', 17.61832894398818], ['Payment History', 'View ebill statement', 5050.959784776177], ['View scheduled payments', 'Cancel Payment', 4779.776755776041], ['View scheduled payments', 'View scheduled - Drop Off', 129.53419490662984], ['Payment Successful', 'Payment Successful - Drop Off', 22.110935597164715], ['Payment Failure', 'Contact Customer Care', 7.917254621992735], ['Payment Failure', 'Payment Failure - Drop Off', 9.701074321995444], ['View ebill statement', 'View Ebill Statement - Drop Off', 1426.471230824012], ['View ebill statement', 'Bill Enquiry', 3624.4885539521647], ['Cancel Payment', 'Chat1', 1832.534317347646], ['Cancel Payment', 'Cancel Payment - Drop Off', 2947.2424384283945], ['Contact Customer Care', 'Chat2', 2.959149767906286], ['Contact Customer Care', 'IVR2', 4.958104854086449], ['Bill Enquiry', 'Chat3', 1856.399290919005], ['Bill Enquiry', 'IVR3', 1768.0892630331596], ['Chat1', 'Chat1 - Drop Off', 1832.534317347646], ['Chat2', 'Chat2 - Drop Off', 1.1967157342846564], ['Chat2', 'IVR1', 0.5679743410356045], ['Chat2', 'Branch1', 1.1944596925860254], ['IVR2', 'IVR2 - Drop Off', 0.943808250552633], ['IVR2', 'Phone1', 4.014296603533817], ['Chat3', 'Chat3 - Drop Off', 1856.399290919005], ['IVR3', 'IVR3 - Drop Off', 1552.8952428405084], ['IVR3', 'Phone2', 215.19402019265095], ['IVR1', 'IVR1 - Drop Off', 0.14429572414881142], ['IVR1', 'Branch1 - Drop Off', 0.4236786168867931], ['Phone1', 'Phone1 - Drop Off', 2.2204985636719496], ['Phone1', 'Branch2', 1.793798039861867], ['Phone2', 'Phone2 - Drop Off', 215.19402019265095]]"
4,Credit Cards,North America,Feb-19,Segment1,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 3926.0970528870307], ['Bill Payment', 'Card Bill Pay', 3106.134269447221], ['Bill Payment', 'Payment History', 2967.768677665748], ['3rd Party Payments', 'View scheduled payments', 3926.0970528870307], ['Card Bill Pay', 'Payment Successful', 1729.3521652526988], ['Card Bill Pay', 'Payment Failure', 1376.7821041945222], ['Payment History', 'View ebill statement', 2967.768677665748], ['View scheduled payments', 'Cancel Payment', 2086.650545031911], ['View scheduled payments', 'View scheduled - Drop Off', 1839.4465078551195], ['Payment Successful', 'Payment Successful - Drop Off', 1729.3521652526988], ['Payment Failure', 'Contact Customer Care', 582.2218095189446], ['Payment Failure', 'Payment Failure - Drop Off', 794.5602946755776], ['View ebill statement', 'View Ebill Statement - Drop Off', 1679.6542872380976], ['View ebill statement', 'Bill Enquiry', 1288.11439042765], ['Cancel Payment', 'Chat1', 229.41293508308843], ['Cancel Payment', 'Cancel Payment - Drop Off', 1857.2376099488224], ['Contact Customer Care', 'Chat2', 234.46152474941732], ['Contact Customer Care', 'IVR2', 347.7602847695273], ['Bill Enquiry', 'Chat3', 75.22468492184474], ['Bill Enquiry', 'IVR3', 1212.8897055058053], ['Chat1', 'Chat1 - Drop Off', 229.41293508308843], ['Chat2', 'Chat2 - Drop Off', 107.37579000607853], ['Chat2', 'IVR1', 40.26343247596995], ['Chat2', 'Branch1', 86.82230226736883], ['IVR2', 'IVR2 - Drop Off', 207.6022493901619], ['IVR2', 'Phone1', 140.15803537936537], ['Chat3', 'Chat3 - Drop Off', 75.22468492184474], ['IVR3', 'IVR3 - Drop Off', 50.42748004713101], ['IVR3', 'Phone2', 1162.4622254586743], ['IVR1', 'IVR1 - Drop Off', 17.675261332110267], ['IVR1', 'Branch1 - Drop Off', 22.58817114385968], ['Phone1', 'Phone1 - Drop Off', 89.00734881356483], ['Phone1', 'Branch2', 51.150686565800555], ['Phone2', 'Phone2 - Drop Off', 1162.4622254586743]]"
5,Credit Cards,North America,Feb-19,Segment2,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 1467.3340146816404], ['Bill Payment', 'Card Bill Pay', 4679.8167731949725], ['Bill Payment', 'Payment History', 3852.8492121233867], ['3rd Party Payments', 'View scheduled payments', 1467.3340146816404], ['Card Bill Pay', 'Payment Successful', 853.1220810127534], ['Card Bill Pay', 'Payment Failure', 3826.6946921822187], ['Payment History', 'View ebill statement', 3852.8492121233867], ['View scheduled payments', 'Cancel Payment', 61.22154900984157], ['View scheduled payments', 'View scheduled - Drop Off', 1406.1124656717989], ['Payment Successful', 'Payment Successful - Drop Off', 853.1220810127534], ['Payment Failure', 'Contact Customer Care', 1950.5503615579662], ['Payment Failure', 'Payment Failure - Drop Off', 1876.144330624252], ['View ebill statement', 'View Ebill Statement - Drop Off', 1554.0530093923255], ['View ebill statement', 'Bill Enquiry', 2298.7962027310614], ['Cancel Payment', 'Chat1', 33.18604289895654], ['Cancel Payment', 'Cancel Payment - Drop Off', 28.035506110885024], ['Contact Customer Care', 'Chat2', 1034.7506034599262], ['Contact Customer Care', 'IVR2', 915.79975809804], ['Bill Enquiry', 'Chat3', 559.4960305439363], ['Bill Enquiry', 'IVR3', 1739.300172187125], ['Chat1', 'Chat1 - Drop Off', 33.18604289895654], ['Chat2', 'Chat2 - Drop Off', 542.7513873653659], ['Chat2', 'IVR1', 338.2518132929534], ['Chat2', 'Branch1', 153.74740280160694], ['IVR2', 'IVR2 - Drop Off', 280.3777173753317], ['IVR2', 'Phone1', 635.4220407227083], ['Chat3', 'Chat3 - Drop Off', 559.4960305439363], ['IVR3', 'IVR3 - Drop Off', 755.9171614689341], ['IVR3', 'Phone2', 983.383010718191], ['IVR1', 'IVR1 - Drop Off', 172.6688074745565], ['IVR1', 'Branch1 - Drop Off', 165.58300581839688], ['Phone1', 'Phone1 - Drop Off', 282.9099318057317], ['Phone1', 'Branch2', 352.5121089169766], ['Phone2', 'Phone2 - Drop Off', 983.383010718191]]"
6,Credit Cards,North America,Feb-19,Segment3,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 2932.3873925570256], ['Bill Payment', 'Card Bill Pay', 2781.1861077516746], ['Bill Payment', 'Payment History', 4286.426499691299], ['3rd Party Payments', 'View scheduled payments', 2932.3873925570256], ['Card Bill Pay', 'Payment Successful', 1455.104341355842], ['Card Bill Pay', 'Payment Failure', 1326.0817663958326], ['Payment History', 'View ebill statement', 4286.426499691299], ['View scheduled payments', 'Cancel Payment', 1873.1306581548633], ['View scheduled payments', 'View scheduled - Drop Off', 1059.2567344021625], ['Payment Successful', 'Payment Successful - Drop Off', 1455.104341355842], ['Payment Failure', 'Contact Customer Care', 206.56735966060518], ['Payment Failure', 'Payment Failure - Drop Off', 1119.5144067352276], ['View ebill statement', 'View Ebill Statement - Drop Off', 1715.0332025462333], ['View ebill statement', 'Bill Enquiry', 2571.393297145066], ['Cancel Payment', 'Chat1', 493.2000950746558], ['Cancel Payment', 'Cancel Payment - Drop Off', 1379.9305630802075], ['Contact Customer Care', 'Chat2', 132.2760103252514], ['Contact Customer Care', 'IVR2', 74.29134933535377], ['Bill Enquiry', 'Chat3', 658.7736796863453], ['Bill Enquiry', 'IVR3', 1912.6196174587205], ['Chat1', 'Chat1 - Drop Off', 493.2000950746558], ['Chat2', 'Chat2 - Drop Off', 45.794715340652004], ['Chat2', 'IVR1', 75.83053181798282], ['Chat2', 'Branch1', 10.650763166616583], ['IVR2', 'IVR2 - Drop Off', 65.61878356283843], ['IVR2', 'Phone1', 8.672565772515346], ['Chat3', 'Chat3 - Drop Off', 658.7736796863453], ['IVR3', 'IVR3 - Drop Off', 1035.8984909521025], ['IVR3', 'Phone2', 876.721126506618], ['IVR1', 'IVR1 - Drop Off', 22.737706322176255], ['IVR1', 'Branch1 - Drop Off', 53.09282549580656], ['Phone1', 'Phone1 - Drop Off', 5.540341275254398], ['Phone1', 'Branch2', 3.1322244972609488], ['Phone2', 'Phone2 - Drop Off', 876.721126506618]]"
7,Credit Cards,North America,Feb-19,Segment4,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 9181.383696474591], ['Bill Payment', 'Card Bill Pay', 798.8331798174562], ['Bill Payment', 'Payment History', 19.783123707952175], ['3rd Party Payments', 'View scheduled payments', 9181.383696474591], ['Card Bill Pay', 'Payment Successful', 58.76011687462039], ['Card Bill Pay', 'Payment Failure', 740.0730629428358], ['Payment History', 'View ebill statement', 19.783123707952175], ['View scheduled payments', 'Cancel Payment', 5768.677607020951], ['View scheduled payments', 'View scheduled - Drop Off', 3412.7060894536407], ['Payment Successful', 'Payment Successful - Drop Off', 58.76011687462039], ['Payment Failure', 'Contact Customer Care', 457.1122510852026], ['Payment Failure', 'Payment Failure - Drop Off', 282.9608118576331], ['View ebill statement', 'View Ebill Statement - Drop Off', 7.03609880587472], ['View ebill statement', 'Bill Enquiry', 12.747024902077456], ['Cancel Payment', 'Chat1', 4784.828592191698], ['Cancel Payment', 'Cancel Payment - Drop Off', 983.8490148292533], ['Contact Customer Care', 'Chat2', 235.03072798052884], ['Contact Customer Care', 'IVR2', 222.08152310467378], ['Bill Enquiry', 'Chat3', 9.898283865060908], ['Bill Enquiry', 'IVR3', 2.8487410370165476], ['Chat1', 'Chat1 - Drop Off', 4784.828592191698], ['Chat2', 'Chat2 - Drop Off', 139.9228254988504], ['Chat2', 'IVR1', 87.03120527137126], ['Chat2', 'Branch1', 8.076697210307193], ['IVR2', 'IVR2 - Drop Off', 115.01492039779728], ['IVR2', 'Phone1', 107.0666027068765], ['Chat3', 'Chat3 - Drop Off', 9.898283865060908], ['IVR3', 'IVR3 - Drop Off', 0.9408004840165156], ['IVR3', 'Phone2', 1.907940553000032], ['IVR1', 'IVR1 - Drop Off', 60.83352848216629], ['IVR1', 'Branch1 - Drop Off', 26.197676789204976], ['Phone1', 'Phone1 - Drop Off', 54.63142092645686], ['Phone1', 'Branch2', 52.43518178041963], ['Phone2', 'Phone2 - Drop Off', 1.907940553000032]]"
8,Credit Cards,North America,Mar-19,Segment1,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 5188.84836224284], ['Bill Payment', 'Card Bill Pay', 3321.5021411832586], ['Bill Payment', 'Payment History', 1489.649496573901], ['3rd Party Payments', 'View scheduled payments', 5188.84836224284], ['Card Bill Pay', 'Payment Successful', 189.4545482933324], ['Card Bill Pay', 'Payment Failure', 3132.0475928899264], ['Payment History', 'View ebill statement', 1489.649496573901], ['View scheduled payments', 'Cancel Payment', 1091.2496003671242], ['View scheduled payments', 'View scheduled - Drop Off', 4097.598761875716], ['Payment Successful', 'Payment Successful - Drop Off', 189.4545482933324], ['Payment Failure', 'Contact Customer Care', 1521.6141532660527], ['Payment Failure', 'Payment Failure - Drop Off', 1610.4334396238737], ['View ebill statement', 'View Ebill Statement - Drop Off', 410.187602581765], ['View ebill statement', 'Bill Enquiry', 1079.4618939921359], ['Cancel Payment', 'Chat1', 689.1017576619887], ['Cancel Payment', 'Cancel Payment - Drop Off', 402.14784270513564], ['Contact Customer Care', 'Chat2', 1227.816438278785], ['Contact Customer Care', 'IVR2', 293.79771498726774], ['Bill Enquiry', 'Chat3', 655.14494859538], ['Bill Enquiry', 'IVR3', 424.3169453967559], ['Chat1', 'Chat1 - Drop Off', 689.1017576619887], ['Chat2', 'Chat2 - Drop Off', 778.5076453563553], ['Chat2', 'IVR1', 264.80786852601324], ['Chat2', 'Branch1', 184.5009243964164], ['IVR2', 'IVR2 - Drop Off', 140.1532283583282], ['IVR2', 'Phone1', 153.64448662893952], ['Chat3', 'Chat3 - Drop Off', 655.14494859538], ['IVR3', 'IVR3 - Drop Off', 42.757652454570255], ['IVR3', 'Phone2', 381.5592929421856], ['IVR1', 'IVR1 - Drop Off', 51.13977626217815], ['IVR1', 'Branch1 - Drop Off', 213.6680922638351], ['Phone1', 'Phone1 - Drop Off', 137.2474126750807], ['Phone1', 'Branch2', 16.397073953858815], ['Phone2', 'Phone2 - Drop Off', 381.5592929421856]]"
9,Credit Cards,North America,Mar-19,Segment2,web,Payment Journey,"[['Payments', 'Bill Payment', 10000.0], ['Bill Payment', '3rd Party Payments', 4584.666029542302], ['Bill Payment', 'Card Bill Pay', 1124.00225508571], ['Bill Payment', 'Payment History', 4291.331715371989], ['3rd Party Payments', 'View scheduled payments', 4584.666029542302], ['Card Bill Pay', 'Payment Successful', 29.10249723120303], ['Card Bill Pay', 'Payment Failure', 1094.899757854507], ['Payment History', 'View ebill statement', 4291.331715371989], ['View scheduled payments', 'Cancel Payment', 1047.9350983170393], ['View scheduled payments', 'View scheduled - Drop Off', 3536.7309312252623], ['Payment Successful', 'Payment Successful - Drop Off', 29.10249723120303], ['Payment Failure', 'Contact Customer Care', 976.2779501569111], ['Payment Failure', 'Payment Failure - Drop Off', 118.62180769759595], ['View ebill statement', 'View Ebill Statement - Drop Off', 1460.2162267682002], ['View ebill statement', 'Bill Enquiry', 2831.1154886037884], ['Cancel Payment', 'Chat1', 330.4448956534319], ['Cancel Payment', 'Cancel Payment - Drop Off', 717.4902026636074], ['Contact Customer Care', 'Chat2', 943.3643926919093], ['Contact Customer Care', 'IVR2', 32.91355746500177], ['Bill Enquiry', 'Chat3', 1521.292526355167], ['Bill Enquiry', 'IVR3', 1309.822962248621], ['Chat1', 'Chat1 - Drop Off', 330.4448956534319], ['Chat2', 'Chat2 - Drop Off', 730.4551814181325], ['Chat2', 'IVR1', 106.92332019666432], ['Chat2', 'Branch1', 105.98589107711251], ['IVR2', 'IVR2 - Drop Off', 10.83802202665432], ['IVR2', 'Phone1', 22.075535438347455], ['Chat3', 'Chat3 - Drop Off', 1521.292526355167], ['IVR3', 'IVR3 - Drop Off', 379.38742631815575], ['IVR3', 'Phone2', 930.4355359304651], ['IVR1', 'IVR1 - Drop Off', 34.77904970344478], ['IVR1', 'Branch1 - Drop Off', 72.14427049321955], ['Phone1', 'Phone1 - Drop Off', 12.682788315902929], ['Phone1', 'Branch2', 9.392747122444524], ['Phone2', 'Phone2 - Drop Off', 930.4355359304651]]"
