,lob,geo,month,seg,startchannel,journey,sankey
0,Credit Cards,North America,Jan-19,Segment1,web,Payment Journey,"[['Payments', 'Bill Payment', 44000.0], ['Bill Payment', '3rd Party Payments', 14037.375930957687], ['Bill Payment', 'Card Bill Pay', 14968.00478716453], ['Bill Payment', 'Payment History', 14994.61928187778], ['3rd Party Payments', 'View scheduled payments', 14037.375930957687], ['Card Bill Pay', 'Payment Successful', 8182.7468014829865], ['Card Bill Pay', 'Payment Failure', 6785.257985681541], ['Payment History', 'View ebill statement', 14994.61928187778], ['View scheduled payments', 'Cancel Payment', 7703.1493957706525], ['View scheduled payments', 'View scheduled - Drop Off', 6334.226535187035], ['Payment Successful', 'Payment Successful - Drop Off', 8182.7468014829865], ['Payment Failure', 'Contact Customer Care', 1261.54611464828], ['Payment Failure', 'Payment Failure - Drop Off', 5523.711871033261], ['View ebill statement', 'View Ebill Statement - Drop Off', 9208.103927203525], ['View ebill statement', 'Bill Enquiry', 5786.515354674254], ['Cancel Payment', 'Chat1', 6321.3005497921], ['Cancel Payment', 'Cancel Payment - Drop Off', 1381.8488459785526], ['Contact Customer Care', 'Chat2', 637.3595349141157], ['Contact Customer Care', 'IVR2', 624.1865797341645], ['Bill Enquiry', 'Chat3', 1801.6859304001275], ['Bill Enquiry', 'IVR3', 3984.829424274126], ['Chat1', 'Chat1 - Drop Off', 6321.3005497921], ['Chat2', 'Chat2 - Drop Off', 213.11067775182454], ['Chat2', 'IVR1', 235.74642538227803], ['Chat2', 'Branch1', 188.5024317800131], ['IVR2', 'IVR2 - Drop Off', 403.76135693380115], ['IVR2', 'Phone1', 220.42522280036343], ['Chat3', 'Chat3 - Drop Off', 1801.6859304001275], ['IVR3', 'IVR3 - Drop Off', 35.307845949719606], ['IVR3', 'Phone2', 3949.5215783244066], ['IVR1', 'IVR1 - Drop Off', 214.80276861677058], ['IVR1', 'Branch1 - Drop Off', 20.943656765507473], ['Phone1', 'Phone1 - Drop Off', 143.71405866838984], ['Phone1', 'Branch2', 76.71116413197359], ['Phone2', 'Phone2 - Drop Off', 3949.5215783244066]]"
1,Credit Cards,North America,Jan-19,Segment2,web,Payment Journey,"[['Payments', 'Bill Payment', 15500.0], ['Bill Payment', '3rd Party Payments', 4328.968013982705], ['Bill Payment', 'Card Bill Pay', 1249.8205688094645], ['Bill Payment', 'Payment History', 9921.211417207829], ['3rd Party Payments', 'View scheduled payments', 4328.968013982705], ['Card Bill Pay', 'Payment Successful', 991.3414551027194], ['Card Bill Pay', 'Payment Failure', 258.4791137067451], ['Payment History', 'View ebill statement', 9921.211417207829], ['View scheduled payments', 'Cancel Payment', 510.03178753148524], ['View scheduled payments', 'View scheduled - Drop Off', 3818.9362264512197], ['Payment Successful', 'Payment Successful - Drop Off', 991.3414551027194], ['Payment Failure', 'Contact Customer Care', 113.37205308202684], ['Payment Failure', 'Payment Failure - Drop Off', 145.1070606247183], ['View ebill statement', 'View Ebill Statement - Drop Off', 4878.072816566025], ['View ebill statement', 'Bill Enquiry', 5043.138600641805], ['Cancel Payment', 'Chat1', 207.83239628006396], ['Cancel Payment', 'Cancel Payment - Drop Off', 302.1993912514213], ['Contact Customer Care', 'Chat2', 52.51778366579016], ['Contact Customer Care', 'IVR2', 60.85426941623667], ['Bill Enquiry', 'Chat3', 4775.933234456369], ['Bill Enquiry', 'IVR3', 267.2053661854363], ['Chat1', 'Chat1 - Drop Off', 207.83239628006396], ['Chat2', 'Chat2 - Drop Off', 0.12852083875016962], ['Chat2', 'IVR1', 29.624266067405415], ['Chat2', 'Branch1', 22.764996759634574], ['IVR2', 'IVR2 - Drop Off', 14.881840105751342], ['IVR2', 'Phone1', 45.97242931048532], ['Chat3', 'Chat3 - Drop Off', 4775.933234456369], ['IVR3', 'IVR3 - Drop Off', 232.50084649025138], ['IVR3', 'Phone2', 34.704519695184906], ['IVR1', 'IVR1 - Drop Off', 10.396837450254997], ['IVR1', 'Branch1 - Drop Off', 19.227428617150416], ['Phone1', 'Phone1 - Drop Off', 24.68679130944919], ['Phone1', 'Branch2', 21.285638001036126], ['Phone2', 'Phone2 - Drop Off', 34.704519695184906]]"
2,Credit Cards,North America,Jan-19,Segment3,web,Payment Journey,"[['Payments', 'Bill Payment', 16500.0], ['Bill Payment', '3rd Party Payments', 7709.135638564477], ['Bill Payment', 'Card Bill Pay', 4135.767050159947], ['Bill Payment', 'Payment History', 4655.097311275576], ['3rd Party Payments', 'View scheduled payments', 7709.135638564477], ['Card Bill Pay', 'Payment Successful', 1697.4882299086269], ['Card Bill Pay', 'Payment Failure', 2438.2788202513193], ['Payment History', 'View ebill statement', 4655.097311275576], ['View scheduled payments', 'Cancel Payment', 3482.508836636784], ['View scheduled payments', 'View scheduled - Drop Off', 4226.626801927692], ['Payment Successful', 'Payment Successful - Drop Off', 1697.4882299086269], ['Payment Failure', 'Contact Customer Care', 1238.6412112708729], ['Payment Failure', 'Payment Failure - Drop Off', 1199.6376089804467], ['View ebill statement', 'View Ebill Statement - Drop Off', 2366.0519882118488], ['View ebill statement', 'Bill Enquiry', 2289.0453230637277], ['Cancel Payment', 'Chat1', 2279.6880001619325], ['Cancel Payment', 'Cancel Payment - Drop Off', 1202.820836474852], ['Contact Customer Care', 'Chat2', 680.7983912571623], ['Contact Customer Care', 'IVR2', 557.8428200137106], ['Bill Enquiry', 'Chat3', 862.6903093279561], ['Bill Enquiry', 'IVR3', 1426.3550137357715], ['Chat1', 'Chat1 - Drop Off', 2279.6880001619325], ['Chat2', 'Chat2 - Drop Off', 304.1860238952014], ['Chat2', 'IVR1', 294.5278552481746], ['Chat2', 'Branch1', 82.08451211378633], ['IVR2', 'IVR2 - Drop Off', 202.8003121541515], ['IVR2', 'Phone1', 355.0425078595591], ['Chat3', 'Chat3 - Drop Off', 862.6903093279561], ['IVR3', 'IVR3 - Drop Off', 1182.5904059701975], ['IVR3', 'Phone2', 243.76460776557377], ['IVR1', 'IVR1 - Drop Off', 211.0087867896342], ['IVR1', 'Branch1 - Drop Off', 83.51906845854039], ['Phone1', 'Phone1 - Drop Off', 79.80295382162478], ['Phone1', 'Branch2', 275.23955403793434], ['Phone2', 'Phone2 - Drop Off', 243.76460776557377]]"
3,Credit Cards,North America,Jan-19,Segment4,web,Payment Journey,"[['Payments', 'Bill Payment', 47500.0], ['Bill Payment', '3rd Party Payments', 2652.8139559710908], ['Bill Payment', 'Card Bill Pay', 22659.28031943837], ['Bill Payment', 'Payment History', 22187.905724590535], ['3rd Party Payments', 'View scheduled payments', 2652.8139559710908], ['Card Bill Pay', 'Payment Successful', 9251.414724317046], ['Card Bill Pay', 'Payment Failure', 13407.86559512132], ['Payment History', 'View ebill statement', 22187.905724590535], ['View scheduled payments', 'Cancel Payment', 835.0650727452817], ['View scheduled payments', 'View scheduled - Drop Off', 1817.748883225809], ['Payment Successful', 'Payment Successful - Drop Off', 9251.414724317046], ['Payment Failure', 'Contact Customer Care', 5815.243594668501], ['Payment Failure', 'Payment Failure - Drop Off', 7592.622000452819], ['View ebill statement', 'View Ebill Statement - Drop Off', 18366.965482474166], ['View ebill statement', 'Bill Enquiry', 3820.9402421163677], ['Cancel Payment', 'Chat1', 827.5964911905869], ['Cancel Payment', 'Cancel Payment - Drop Off', 7.468581554694777], ['Contact Customer Care', 'Chat2', 5160.478416197265], ['Contact Customer Care', 'IVR2', 654.7651784712356], ['Bill Enquiry', 'Chat3', 1343.6634185416249], ['Bill Enquiry', 'IVR3', 2477.276823574743], ['Chat1', 'Chat1 - Drop Off', 827.5964911905869], ['Chat2', 'Chat2 - Drop Off', 2558.4270857955366], ['Chat2', 'IVR1', 685.0100288909729], ['Chat2', 'Branch1', 1917.0413015107558], ['IVR2', 'IVR2 - Drop Off', 442.49360530513286], ['IVR2', 'Phone1', 212.27157316610274], ['Chat3', 'Chat3 - Drop Off', 1343.6634185416249], ['IVR3', 'IVR3 - Drop Off', 494.53977340493594], ['IVR3', 'Phone2', 1982.7370501698072], ['IVR1', 'IVR1 - Drop Off', 152.488610626932], ['IVR1', 'Branch1 - Drop Off', 532.5214182640409], ['Phone1', 'Phone1 - Drop Off', 95.72396330178267], ['Phone1', 'Branch2', 116.54760986432008], ['Phone2', 'Phone2 - Drop Off', 1982.7370501698072]]"
4,Credit Cards,North America,Feb-19,Segment1,web,Payment Journey,"[['Payments', 'Bill Payment', 16500.0], ['Bill Payment', '3rd Party Payments', 1767.6028354795972], ['Bill Payment', 'Card Bill Pay', 5548.652886103156], ['Bill Payment', 'Payment History', 9183.744278417247], ['3rd Party Payments', 'View scheduled payments', 1767.6028354795972], ['Card Bill Pay', 'Payment Successful', 3358.9390604432474], ['Card Bill Pay', 'Payment Failure', 2189.7138256599087], ['Payment History', 'View ebill statement', 9183.744278417247], ['View scheduled payments', 'Cancel Payment', 736.1409021433923], ['View scheduled payments', 'View scheduled - Drop Off', 1031.4619333362048], ['Payment Successful', 'Payment Successful - Drop Off', 3358.9390604432474], ['Payment Failure', 'Contact Customer Care', 708.2288099157196], ['Payment Failure', 'Payment Failure - Drop Off', 1481.4850157441892], ['View ebill statement', 'View Ebill Statement - Drop Off', 4854.841206679088], ['View ebill statement', 'Bill Enquiry', 4328.903071738159], ['Cancel Payment', 'Chat1', 489.59800200808957], ['Cancel Payment', 'Cancel Payment - Drop Off', 246.54290013530277], ['Contact Customer Care', 'Chat2', 539.3788105064257], ['Contact Customer Care', 'IVR2', 168.84999940929387], ['Bill Enquiry', 'Chat3', 1988.0794075182455], ['Bill Enquiry', 'IVR3', 2340.823664219914], ['Chat1', 'Chat1 - Drop Off', 489.59800200808957], ['Chat2', 'Chat2 - Drop Off', 302.1564062795309], ['Chat2', 'IVR1', 30.31354459994115], ['Chat2', 'Branch1', 206.90885962695364], ['IVR2', 'IVR2 - Drop Off', 94.11938375585318], ['IVR2', 'Phone1', 74.7306156534407], ['Chat3', 'Chat3 - Drop Off', 1988.0794075182455], ['IVR3', 'IVR3 - Drop Off', 823.0599858647992], ['IVR3', 'Phone2', 1517.7636783551147], ['IVR1', 'IVR1 - Drop Off', 28.5061935056675], ['IVR1', 'Branch1 - Drop Off', 1.8073510942736484], ['Phone1', 'Phone1 - Drop Off', 71.61535470432716], ['Phone1', 'Branch2', 3.115260949113534], ['Phone2', 'Phone2 - Drop Off', 1517.7636783551147]]"
5,Credit Cards,North America,Feb-19,Segment2,web,Payment Journey,"[['Payments', 'Bill Payment', 38000.0], ['Bill Payment', '3rd Party Payments', 6046.9662355841965], ['Bill Payment', 'Card Bill Pay', 16095.848302025028], ['Bill Payment', 'Payment History', 15857.185462390773], ['3rd Party Payments', 'View scheduled payments', 6046.9662355841965], ['Card Bill Pay', 'Payment Successful', 14506.994997028722], ['Card Bill Pay', 'Payment Failure', 1588.8533049963064], ['Payment History', 'View ebill statement', 15857.185462390773], ['View scheduled payments', 'Cancel Payment', 198.60387537802595], ['View scheduled payments', 'View scheduled - Drop Off', 5848.362360206171], ['Payment Successful', 'Payment Successful - Drop Off', 14506.994997028722], ['Payment Failure', 'Contact Customer Care', 1439.0805291441377], ['Payment Failure', 'Payment Failure - Drop Off', 149.77277585216865], ['View ebill statement', 'View Ebill Statement - Drop Off', 12092.86612188149], ['View ebill statement', 'Bill Enquiry', 3764.3193405092825], ['Cancel Payment', 'Chat1', 131.3497382625775], ['Cancel Payment', 'Cancel Payment - Drop Off', 67.25413711544846], ['Contact Customer Care', 'Chat2', 774.5609929705705], ['Contact Customer Care', 'IVR2', 664.5195361735672], ['Bill Enquiry', 'Chat3', 2867.0704041102094], ['Bill Enquiry', 'IVR3', 897.2489363990728], ['Chat1', 'Chat1 - Drop Off', 131.3497382625775], ['Chat2', 'Chat2 - Drop Off', 291.17425431500146], ['Chat2', 'IVR1', 77.74423126166056], ['Chat2', 'Branch1', 405.64250739390855], ['IVR2', 'IVR2 - Drop Off', 419.11289035076555], ['IVR2', 'Phone1', 245.40664582280166], ['Chat3', 'Chat3 - Drop Off', 2867.0704041102094], ['IVR3', 'IVR3 - Drop Off', 582.5289108729768], ['IVR3', 'Phone2', 314.72002552609604], ['IVR1', 'IVR1 - Drop Off', 46.998698356380224], ['IVR1', 'Branch1 - Drop Off', 30.745532905280328], ['Phone1', 'Phone1 - Drop Off', 145.17499784520538], ['Phone1', 'Branch2', 100.2316479775963], ['Phone2', 'Phone2 - Drop Off', 314.72002552609604]]"
6,Credit Cards,North America,Feb-19,Segment3,web,Payment Journey,"[['Payments', 'Bill Payment', 39500.0], ['Bill Payment', '3rd Party Payments', 9205.239502362063], ['Bill Payment', 'Card Bill Pay', 17271.527815031033], ['Bill Payment', 'Payment History', 13023.232682606904], ['3rd Party Payments', 'View scheduled payments', 9205.239502362063], ['Card Bill Pay', 'Payment Successful', 15763.799181371505], ['Card Bill Pay', 'Payment Failure', 1507.7286336595278], ['Payment History', 'View ebill statement', 13023.232682606904], ['View scheduled payments', 'Cancel Payment', 3937.390536279368], ['View scheduled payments', 'View scheduled - Drop Off', 5267.8489660826945], ['Payment Successful', 'Payment Successful - Drop Off', 15763.799181371505], ['Payment Failure', 'Contact Customer Care', 599.8305902093406], ['Payment Failure', 'Payment Failure - Drop Off', 907.8980434501874], ['View ebill statement', 'View Ebill Statement - Drop Off', 9525.220227689633], ['View ebill statement', 'Bill Enquiry', 3498.0124549172706], ['Cancel Payment', 'Chat1', 3126.3404636037726], ['Cancel Payment', 'Cancel Payment - Drop Off', 811.0500726755954], ['Contact Customer Care', 'Chat2', 58.72809149850193], ['Contact Customer Care', 'IVR2', 541.1024987108386], ['Bill Enquiry', 'Chat3', 1019.981908204643], ['Bill Enquiry', 'IVR3', 2478.0305467126277], ['Chat1', 'Chat1 - Drop Off', 3126.3404636037726], ['Chat2', 'Chat2 - Drop Off', 12.011944953822171], ['Chat2', 'IVR1', 36.435356252325626], ['Chat2', 'Branch1', 10.280790292354137], ['IVR2', 'IVR2 - Drop Off', 346.9632572955002], ['IVR2', 'Phone1', 194.1392414153384], ['Chat3', 'Chat3 - Drop Off', 1019.981908204643], ['IVR3', 'IVR3 - Drop Off', 1651.3568639855682], ['IVR3', 'Phone2', 826.6736827270594], ['IVR1', 'IVR1 - Drop Off', 30.066345769728493], ['IVR1', 'Branch1 - Drop Off', 6.3690104825971385], ['Phone1', 'Phone1 - Drop Off', 108.80018851585713], ['Phone1', 'Branch2', 85.33905289948127], ['Phone2', 'Phone2 - Drop Off', 826.6736827270594]]"
7,Credit Cards,North America,Feb-19,Segment4,web,Payment Journey,"[['Payments', 'Bill Payment', 18500.0], ['Bill Payment', '3rd Party Payments', 11059.87765011811], ['Bill Payment', 'Card Bill Pay', 6612.617037323148], ['Bill Payment', 'Payment History', 827.5053125587441], ['3rd Party Payments', 'View scheduled payments', 11059.87765011811], ['Card Bill Pay', 'Payment Successful', 4589.529810229419], ['Card Bill Pay', 'Payment Failure', 2023.0872270937289], ['Payment History', 'View ebill statement', 827.5053125587441], ['View scheduled payments', 'Cancel Payment', 519.535516678656], ['View scheduled payments', 'View scheduled - Drop Off', 10540.342133439453], ['Payment Successful', 'Payment Successful - Drop Off', 4589.529810229419], ['Payment Failure', 'Contact Customer Care', 813.1633862485913], ['Payment Failure', 'Payment Failure - Drop Off', 1209.9238408451376], ['View ebill statement', 'View Ebill Statement - Drop Off', 626.8344562027039], ['View ebill statement', 'Bill Enquiry', 200.67085635604013], ['Cancel Payment', 'Chat1', 165.0971406114883], ['Cancel Payment', 'Cancel Payment - Drop Off', 354.4383760671677], ['Contact Customer Care', 'Chat2', 487.6253227712737], ['Contact Customer Care', 'IVR2', 325.5380634773177], ['Bill Enquiry', 'Chat3', 182.89753298803734], ['Bill Enquiry', 'IVR3', 17.773323368002778], ['Chat1', 'Chat1 - Drop Off', 165.0971406114883], ['Chat2', 'Chat2 - Drop Off', 169.25010722591645], ['Chat2', 'IVR1', 109.83842115417873], ['Chat2', 'Branch1', 208.5367943911785], ['IVR2', 'IVR2 - Drop Off', 269.97257364520533], ['IVR2', 'Phone1', 55.56548983211238], ['Chat3', 'Chat3 - Drop Off', 182.89753298803734], ['IVR3', 'IVR3 - Drop Off', 12.75671446368853], ['IVR3', 'Phone2', 5.016608904314249], ['IVR1', 'IVR1 - Drop Off', 57.505689974053645], ['IVR1', 'Branch1 - Drop Off', 52.33273118012508], ['Phone1', 'Phone1 - Drop Off', 21.065774475707777], ['Phone1', 'Branch2', 34.4997153564046], ['Phone2', 'Phone2 - Drop Off', 5.016608904314249]]"
8,Credit Cards,North America,Mar-19,Segment1,web,Payment Journey,"[['Payments', 'Bill Payment', 47000.0], ['Bill Payment', '3rd Party Payments', 9931.669312281496], ['Bill Payment', 'Card Bill Pay', 28836.554670847414], ['Bill Payment', 'Payment History', 8231.776016871092], ['3rd Party Payments', 'View scheduled payments', 9931.669312281496], ['Card Bill Pay', 'Payment Successful', 6267.286323857296], ['Card Bill Pay', 'Payment Failure', 22569.268346990117], ['Payment History', 'View ebill statement', 8231.776016871092], ['View scheduled payments', 'Cancel Payment', 4152.556566950285], ['View scheduled payments', 'View scheduled - Drop Off', 5779.112745331212], ['Payment Successful', 'Payment Successful - Drop Off', 6267.286323857296], ['Payment Failure', 'Contact Customer Care', 16686.346280195616], ['Payment Failure', 'Payment Failure - Drop Off', 5882.922066794501], ['View ebill statement', 'View Ebill Statement - Drop Off', 4517.013654797121], ['View ebill statement', 'Bill Enquiry', 3714.7623620739714], ['Cancel Payment', 'Chat1', 2668.8752628849966], ['Cancel Payment', 'Cancel Payment - Drop Off', 1483.681304065288], ['Contact Customer Care', 'Chat2', 10209.502969744197], ['Contact Customer Care', 'IVR2', 6476.843310451417], ['Bill Enquiry', 'Chat3', 1285.058238607489], ['Bill Enquiry', 'IVR3', 2429.7041234664825], ['Chat1', 'Chat1 - Drop Off', 2668.8752628849966], ['Chat2', 'Chat2 - Drop Off', 5373.121526437398], ['Chat2', 'IVR1', 1339.3884588411054], ['Chat2', 'Branch1', 3496.9929844656945], ['IVR2', 'IVR2 - Drop Off', 5796.6067398489995], ['IVR2', 'Phone1', 680.2365706024176], ['Chat3', 'Chat3 - Drop Off', 1285.058238607489], ['IVR3', 'IVR3 - Drop Off', 1045.7731976974421], ['IVR3', 'Phone2', 1383.9309257690404], ['IVR1', 'IVR1 - Drop Off', 526.9955646507195], ['IVR1', 'Branch1 - Drop Off', 812.392894190386], ['Phone1', 'Phone1 - Drop Off', 397.0640612563229], ['Phone1', 'Branch2', 283.1725093460947], ['Phone2', 'Phone2 - Drop Off', 1383.9309257690404]]"
9,Credit Cards,North America,Mar-19,Segment2,web,Payment Journey,"[['Payments', 'Bill Payment', 13000.0], ['Bill Payment', '3rd Party Payments', 3972.8340634931383], ['Bill Payment', 'Card Bill Pay', 6154.416309145431], ['Bill Payment', 'Payment History', 2872.7496273614292], ['3rd Party Payments', 'View scheduled payments', 3972.8340634931383], ['Card Bill Pay', 'Payment Successful', 950.2313906194433], ['Card Bill Pay', 'Payment Failure', 5204.184918525988], ['Payment History', 'View ebill statement', 2872.7496273614292], ['View scheduled payments', 'Cancel Payment', 549.1192025690161], ['View scheduled payments', 'View scheduled - Drop Off', 3423.7148609241226], ['Payment Successful', 'Payment Successful - Drop Off', 950.2313906194433], ['Payment Failure', 'Contact Customer Care', 1201.0378521469731], ['Payment Failure', 'Payment Failure - Drop Off', 4003.147066379015], ['View ebill statement', 'View Ebill Statement - Drop Off', 1789.3496558617453], ['View ebill statement', 'Bill Enquiry', 1083.3999714996837], ['Cancel Payment', 'Chat1', 261.1019781924287], ['Cancel Payment', 'Cancel Payment - Drop Off', 288.01722437658736], ['Contact Customer Care', 'Chat2', 696.0890397452652], ['Contact Customer Care', 'IVR2', 504.94881240170804], ['Bill Enquiry', 'Chat3', 533.2728166271855], ['Bill Enquiry', 'IVR3', 550.1271548724982], ['Chat1', 'Chat1 - Drop Off', 261.1019781924287], ['Chat2', 'Chat2 - Drop Off', 101.24889891432866], ['Chat2', 'IVR1', 339.6390566804643], ['Chat2', 'Branch1', 255.20108415047207], ['IVR2', 'IVR2 - Drop Off', 311.26358774888496], ['IVR2', 'Phone1', 193.68522465282308], ['Chat3', 'Chat3 - Drop Off', 533.2728166271855], ['IVR3', 'IVR3 - Drop Off', 243.7395267573177], ['IVR3', 'Phone2', 306.38762811518046], ['IVR1', 'IVR1 - Drop Off', 88.38702659212609], ['IVR1', 'Branch1 - Drop Off', 251.2520300883382], ['Phone1', 'Phone1 - Drop Off', 144.57237380643767], ['Phone1', 'Branch2', 49.112850846385406], ['Phone2', 'Phone2 - Drop Off', 306.38762811518046]]"
